391       REPUBLIC SERVICES                       299   PHOENIX             AZ   85054     33000     
392       REYNOLDS AMERICAN                       223   WINSTON-SALEM       NC   27101     5525      
393       RITE AID                                91    CAMP HILL           PA   17011     70580     
394       ROBERT HALF INTERNATIONAL               493   MENLO PARK          CA   94025     16400     
395       ROCKWELL AUTOMATION                     442   MILWAUKEE           WI   53204     22000     
396       ROCKWELL COLLINS                        492   CEDAR RAPIDS        IA   52498     19000     
397       ROSS STORES                             219   DUBLIN              CA   94568     78600     
398       RYDER SYSTEM                            394   MIAMI               FL   33178     34500     
399       S&P GLOBAL                              459   NEW YORK            NY   10041     20000     
400       SALESFORCE.COM                          326   SAN FRANCISCO       CA   94105     25000     
401       SANMINA                                 414   MILPITAS            CA   95035     40178     
